simulation_id,sim_type,roster,agent,w,eps,c,convergence_round
10,2v2,Random | Random | Frequency Copier | Anti Copier,Random 1,10,0.02,3,23
10,2v2,Random | Random | Frequency Copier | Anti Copier,Random 1,20,0.005,5,52
10,2v2,Random | Random | Frequency Copier | Anti Copier,Random 1,20,0.01,5,43
10,2v2,Random | Random | Frequency Copier | Anti Copier,Random 1,20,0.02,5,35
10,2v2,Random | Random | Frequency Copier | Anti Copier,Random 1,30,0.005,7,71
10,2v2,Random | Random | Frequency Copier | Anti Copier,Random 1,30,0.01,7,56
10,2v2,Random | Random | Frequency Copier | Anti Copier,Random 1,30,0.02,7,46
10,2v2,Random | Random | Frequency Copier | Anti Copier,Random 2,10,0.005,3,40
10,2v2,Random | Random | Frequency Copier | Anti Copier,Random 2,10,0.01,3,29
10,2v2,Random | Random | Frequency Copier | Anti Copier,Random 2,10,0.02,3,23
10,2v2,Random | Random | Frequency Copier | Anti Copier,Random 2,20,0.005,5,60
10,2v2,Random | Random | Frequency Copier | Anti Copier,Random 2,20,0.01,5,46
10,2v2,Random | Random | Frequency Copier | Anti Copier,Random 2,20,0.02,5,35
10,2v2,Random | Random | Frequency Copier | Anti Copier,Random 2,30,0.005,7,76
10,2v2,Random | Random | Frequency Copier | Anti Copier,Random 2,30,0.01,7,60
10,2v2,Random | Random | Frequency Copier | Anti Copier,Random 2,30,0.02,7,48
10,2v2,Random | Random | Frequency Copier | Anti Copier,Frequency Copier,10,0.005,3,23
10,2v2,Random | Random | Frequency Copier | Anti Copier,Frequency Copier,10,0.01,3,17
10,2v2,Random | Random | Frequency Copier | Anti Copier,Frequency Copier,10,0.02,3,14
