ruleset,simulation_id,sim_type,roster,agent,w,eps,c,convergence_round
baseline,7,2v2,Random | Random | Leader Copier | Anti Copier,Random 1,20,0.01,5,29
baseline,7,2v2,Random | Random | Leader Copier | Anti Copier,Random 1,20,0.02,5,27
baseline,7,2v2,Random | Random | Leader Copier | Anti Copier,Random 1,30,0.005,7,41
baseline,7,2v2,Random | Random | Leader Copier | Anti Copier,Random 1,30,0.01,7,39
baseline,7,2v2,Random | Random | Leader Copier | Anti Copier,Random 1,30,0.02,7,37
baseline,7,2v2,Random | Random | Leader Copier | Anti Copier,Random 2,10,0.005,3,23
baseline,7,2v2,Random | Random | Leader Copier | Anti Copier,Random 2,10,0.01,3,20
baseline,7,2v2,Random | Random | Leader Copier | Anti Copier,Random 2,10,0.02,3,17
baseline,7,2v2,Random | Random | Leader Copier | Anti Copier,Random 2,20,0.005,5,34
baseline,7,2v2,Random | Random | Leader Copier | Anti Copier,Random 2,20,0.01,5,30
baseline,7,2v2,Random | Random | Leader Copier | Anti Copier,Random 2,20,0.02,5,27
baseline,7,2v2,Random | Random | Leader Copier | Anti Copier,Random 2,30,0.005,7,44
baseline,7,2v2,Random | Random | Leader Copier | Anti Copier,Random 2,30,0.01,7,41
baseline,7,2v2,Random | Random | Leader Copier | Anti Copier,Random 2,30,0.02,7,37
baseline,7,2v2,Random | Random | Leader Copier | Anti Copier,Leader Copier,10,0.005,3,62
baseline,7,2v2,Random | Random | Leader Copier | Anti Copier,Leader Copier,10,0.01,3,45
baseline,7,2v2,Random | Random | Leader Copier | Anti Copier,Leader Copier,10,0.02,3,32
baseline,7,2v2,Random | Random | Leader Copier | Anti Copier,Leader Copier,20,0.005,5,87
baseline,7,2v2,Random | Random | Leader Copier | Anti Copier,Leader Copier,20,0.01,5,67
baseline,7,2v2,Random | Random | Leader Copier | Anti Copier,Leader Copier,20,0.02,5,51
baseline,7,2v2,Random | Random | Leader Copier | Anti Copier,Leader Copier,30,0.005,7,
baseline,7,2v2,Random | Random | Leader Copier | Anti Copier,Leader Copier,30,0.01,7,85
baseline,7,2v2,Random | Random | Leader Copier | Anti Copier,Leader Copier,30,0.02,7,66
baseline,7,2v2,Random | Random | Leader Copier | Anti Copier,Anti Copier,10,0.005,3,45
baseline,7,2v2,Random | Random | Leader Copier | Anti Copier,Anti Copier,10,0.01,3,35
baseline,7,2v2,Random | Random | Leader Copier | Anti Copier,Anti Copier,10,0.02,3,27
baseline,7,2v2,Random | Random | Leader Copier | Anti Copier,Anti Copier,20,0.005,5,71
baseline,7,2v2,Random | Random | Leader Copier | Anti Copier,Anti Copier,20,0.01,5,52
baseline,7,2v2,Random | Random | Leader Copier | Anti Copier,Anti Copier,20,0.02,5,41
baseline,7,2v2,Random | Random | Leader Copier | Anti Copier,Anti Copier,30,0.005,7,87
baseline,7,2v2,Random | Random | Leader Copier | Anti Copier,Anti Copier,30,0.01,7,68
baseline,7,2v2,Random | Random | Leader Copier | Anti Copier,Anti Copier,30,0.02,7,54
baseline,8,2v2,Random | Random | Self Copier | Frequency Copier,Random 1,10,0.005,3,33
baseline,8,2v2,Random | Random | Self Copier | Frequency Copier,Random 1,10,0.01,3,24
baseline,8,2v2,Random | Random | Self Copier | Frequency Copier,Random 1,10,0.02,3,18
baseline,8,2v2,Random | Random | Self Copier | Frequency Copier,Random 1,20,0.005,5,48
baseline,8,2v2,Random | Random | Self Copier | Frequency Copier,Random 1,20,0.01,5,38
baseline,8,2v2,Random | Random | Self Copier | Frequency Copier,Random 1,20,0.02,5,31
baseline,8,2v2,Random | Random | Self Copier | Frequency Copier,Random 1,30,0.005,7,63
baseline,8,2v2,Random | Random | Self Copier | Frequency Copier,Random 1,30,0.01,7,52
baseline,8,2v2,Random | Random | Self Copier | Frequency Copier,Random 1,30,0.02,7,42
baseline,8,2v2,Random | Random | Self Copier | Frequency Copier,Random 2,10,0.005,3,32
baseline,8,2v2,Random | Random | Self Copier | Frequency Copier,Random 2,10,0.01,3,24
baseline,8,2v2,Random | Random | Self Copier | Frequency Copier,Random 2,10,0.02,3,20
baseline,8,2v2,Random | Random | Self Copier | Frequency Copier,Random 2,20,0.005,5,48
baseline,8,2v2,Random | Random | Self Copier | Frequency Copier,Random 2,20,0.01,5,38
baseline,8,2v2,Random | Random | Self Copier | Frequency Copier,Random 2,20,0.02,5,32
baseline,8,2v2,Random | Random | Self Copier | Frequency Copier,Random 2,30,0.005,7,63
baseline,8,2v2,Random | Random | Self Copier | Frequency Copier,Random 2,30,0.01,7,50
baseline,8,2v2,Random | Random | Self Copier | Frequency Copier,Random 2,30,0.02,7,43
baseline,8,2v2,Random | Random | Self Copier | Frequency Copier,Self Copier,10,0.005,3,27
baseline,8,2v2,Random | Random | Self Copier | Frequency Copier,Self Copier,10,0.01,3,21
baseline,8,2v2,Random | Random | Self Copier | Frequency Copier,Self Copier,10,0.02,3,13
baseline,8,2v2,Random | Random | Self Copier | Frequency Copier,Self Copier,20,0.005,5,40
baseline,8,2v2,Random | Random | Self Copier | Frequency Copier,Self Copier,20,0.01,5,33
baseline,8,2v2,Random | Random | Self Copier | Frequency Copier,Self Copier,20,0.02,5,28
baseline,8,2v2,Random | Random | Self Copier | Frequency Copier,Self Copier,30,0.005,7,53
baseline,8,2v2,Random | Random | Self Copier | Frequency Copier,Self Copier,30,0.01,7,44
baseline,8,2v2,Random | Random | Self Copier | Frequency Copier,Self Copier,30,0.02,7,38
baseline,8,2v2,Random | Random | Self Copier | Frequency Copier,Frequency Copier,10,0.005,3,20
baseline,8,2v2,Random | Random | Self Copier | Frequency Copier,Frequency Copier,10,0.01,3,17
baseline,8,2v2,Random | Random | Self Copier | Frequency Copier,Frequency Copier,10,0.02,3,15
baseline,8,2v2,Random | Random | Self Copier | Frequency Copier,Frequency Copier,20,0.005,5,33
baseline,8,2v2,Random | Random | Self Copier | Frequency Copier,Frequency Copier,20,0.01,5,27
baseline,8,2v2,Random | Random | Self Copier | Frequency Copier,Frequency Copier,20,0.02,5,25
baseline,8,2v2,Random | Random | Self Copier | Frequency Copier,Frequency Copier,30,0.005,7,45
baseline,8,2v2,Random | Random | Self Copier | Frequency Copier,Frequency Copier,30,0.01,7,39
baseline,8,2v2,Random | Random | Self Copier | Frequency Copier,Frequency Copier,30,0.02,7,35
baseline,9,2v2,Random | Random | Self Copier | Anti Copier,Random 1,10,0.005,3,34
baseline,9,2v2,Random | Random | Self Copier | Anti Copier,Random 1,10,0.01,3,24
baseline,9,2v2,Random | Random | Self Copier | Anti Copier,Random 1,10,0.02,3,19
baseline,9,2v2,Random | Random | Self Copier | Anti Copier,Random 1,20,0.005,5,51
baseline,9,2v2,Random | Random | Self Copier | Anti Copier,Random 1,20,0.01,5,38
baseline,9,2v2,Random | Random | Self Copier | Anti Copier,Random 1,20,0.02,5,31
baseline,9,2v2,Random | Random | Self Copier | Anti Copier,Random 1,30,0.005,7,65
baseline,9,2v2,Random | Random | Self Copier | Anti Copier,Random 1,30,0.01,7,51
baseline,9,2v2,Random | Random | Self Copier | Anti Copier,Random 1,30,0.02,7,42
baseline,9,2v2,Random | Random | Self Copier | Anti Copier,Random 2,10,0.005,3,30
baseline,9,2v2,Random | Random | Self Copier | Anti Copier,Random 2,10,0.01,3,26
baseline,9,2v2,Random | Random | Self Copier | Anti Copier,Random 2,10,0.02,3,20
baseline,9,2v2,Random | Random | Self Copier | Anti Copier,Random 2,20,0.005,5,55
baseline,9,2v2,Random | Random | Self Copier | Anti Copier,Random 2,20,0.01,5,39
baseline,9,2v2,Random | Random | Self Copier | Anti Copier,Random 2,20,0.02,5,31
baseline,9,2v2,Random | Random | Self Copier | Anti Copier,Random 2,30,0.005,7,75
baseline,9,2v2,Random | Random | Self Copier | Anti Copier,Random 2,30,0.01,7,51
baseline,9,2v2,Random | Random | Self Copier | Anti Copier,Random 2,30,0.02,7,43
baseline,9,2v2,Random | Random | Self Copier | Anti Copier,Self Copier,10,0.005,3,40
baseline,9,2v2,Random | Random | Self Copier | Anti Copier,Self Copier,10,0.01,3,29
baseline,9,2v2,Random | Random | Self Copier | Anti Copier,Self Copier,10,0.02,3,23
baseline,9,2v2,Random | Random | Self Copier | Anti Copier,Self Copier,20,0.005,5,62
baseline,9,2v2,Random | Random | Self Copier | Anti Copier,Self Copier,20,0.01,5,46
baseline,9,2v2,Random | Random | Self Copier | Anti Copier,Self Copier,20,0.02,5,36
baseline,9,2v2,Random | Random | Self Copier | Anti Copier,Self Copier,30,0.005,7,80
baseline,9,2v2,Random | Random | Self Copier | Anti Copier,Self Copier,30,0.01,7,61
baseline,9,2v2,Random | Random | Self Copier | Anti Copier,Self Copier,30,0.02,7,48
